id,date,time,stage,round,group,home,away,home_goals,away_goals
1,2026-06-11,21:00,Group,Group A,A,Mexico,South Africa,,
2,2026-06-12,04:00,Group,Group A,A,South Korea,Czech Republic,,
3,2026-06-12,21:00,Group,Group B,B,Canada,Bosnia and Herzegovina,,
4,2026-06-13,03:00,Group,Group D,D,United States,Paraguay,,
5,2026-06-14,03:00,Group,Group C,C,Haiti,Scotland,,
6,2026-06-14,06:00,Group,Group D,D,Australia,Turkey,,
7,2026-06-14,00:00,Group,Group C,C,Brazil,Morocco,,
8,2026-06-13,21:00,Group,Group B,B,Qatar,Switzerland,,
9,2026-06-15,01:00,Group,Group E,E,Ivory Coast,Ecuador,,
10,2026-06-14,19:00,Group,Group E,E,Germany,Curaçao,,
11,2026-06-14,22:00,Group,Group F,F,Netherlands,Japan,,
12,2026-06-15,04:00,Group,Group F,F,Sweden,Tunisia,,
13,2026-06-16,00:00,Group,Group H,H,Saudi Arabia,Uruguay,,
14,2026-06-15,18:00,Group,Group H,H,Spain,Cape Verde,,
15,2026-06-16,03:00,Group,Group G,G,Iran,New Zealand,,
16,2026-06-15,21:00,Group,Group G,G,Belgium,Egypt,,
17,2026-06-16,21:00,Group,Group I,I,France,Senegal,,
18,2026-06-17,00:00,Group,Group I,I,Iraq,Norway,,
19,2026-06-17,03:00,Group,Group J,J,Argentina,Algeria,,
20,2026-06-17,06:00,Group,Group J,J,Austria,Jordan,,
21,2026-06-18,01:00,Group,Group L,L,Ghana,Panama,,
22,2026-06-17,22:00,Group,Group L,L,England,Croatia,,
23,2026-06-17,19:00,Group,Group K,K,Portugal,DR Congo,,
24,2026-06-18,04:00,Group,Group K,K,Uzbekistan,Colombia,,
25,2026-06-18,18:00,Group,Group A,A,Czech Republic,South Africa,,
26,2026-06-18,21:00,Group,Group B,B,Switzerland,Bosnia and Herzegovina,,
27,2026-06-19,00:00,Group,Group B,B,Canada,Qatar,,
28,2026-06-19,03:00,Group,Group A,A,Mexico,South Korea,,
29,2026-06-20,02:30,Group,Group C,C,Brazil,Haiti,,
30,2026-06-20,00:00,Group,Group C,C,Scotland,Morocco,,
31,2026-06-20,05:00,Group,Group D,D,Turkey,Paraguay,,
32,2026-06-19,21:00,Group,Group D,D,United States,Australia,,
33,2026-06-20,22:00,Group,Group E,E,Germany,Ivory Coast,,
34,2026-06-21,02:00,Group,Group E,E,Ecuador,Curaçao,,
35,2026-06-20,19:00,Group,Group F,F,Netherlands,Sweden,,
36,2026-06-21,06:00,Group,Group F,F,Tunisia,Japan,,
37,2026-06-22,00:00,Group,Group H,H,Uruguay,Cape Verde,,
38,2026-06-21,18:00,Group,Group H,H,Spain,Saudi Arabia,,
39,2026-06-21,21:00,Group,Group G,G,Belgium,Iran,,
40,2026-06-22,03:00,Group,Group G,G,New Zealand,Egypt,,
41,2026-06-23,02:00,Group,Group I,I,Norway,Senegal,,
42,2026-06-22,23:00,Group,Group I,I,France,Iraq,,
43,2026-06-22,19:00,Group,Group J,J,Argentina,Austria,,
44,2026-06-23,05:00,Group,Group J,J,Jordan,Algeria,,
45,2026-06-23,22:00,Group,Group L,L,England,Ghana,,
46,2026-06-24,01:00,Group,Group L,L,Panama,Croatia,,
47,2026-06-23,19:00,Group,Group K,K,Portugal,Uzbekistan,,
48,2026-06-24,04:00,Group,Group K,K,Colombia,DR Congo,,
49,2026-06-25,00:00,Group,Group C,C,Scotland,Brazil,,
50,2026-06-25,00:00,Group,Group C,C,Morocco,Haiti,,
51,2026-06-24,21:00,Group,Group B,B,Switzerland,Canada,,
52,2026-06-24,21:00,Group,Group B,B,Bosnia and Herzegovina,Qatar,,
53,2026-06-25,03:00,Group,Group A,A,Czech Republic,Mexico,,
54,2026-06-25,03:00,Group,Group A,A,South Africa,South Korea,,
55,2026-06-25,22:00,Group,Group E,E,Curaçao,Ivory Coast,,
56,2026-06-25,22:00,Group,Group E,E,Ecuador,Germany,,
57,2026-06-26,01:00,Group,Group F,F,Japan,Sweden,,
58,2026-06-26,01:00,Group,Group F,F,Tunisia,Netherlands,,
59,2026-06-26,04:00,Group,Group D,D,Turkey,United States,,
60,2026-06-26,04:00,Group,Group D,D,Paraguay,Australia,,
61,2026-06-26,21:00,Group,Group I,I,Norway,France,,
62,2026-06-26,21:00,Group,Group I,I,Senegal,Iraq,,
63,2026-06-27,05:00,Group,Group G,G,Egypt,Iran,,
64,2026-06-27,05:00,Group,Group G,G,New Zealand,Belgium,,
65,2026-06-27,02:00,Group,Group H,H,Cape Verde,Saudi Arabia,,
66,2026-06-27,02:00,Group,Group H,H,Uruguay,Spain,,
67,2026-06-27,23:00,Group,Group L,L,Panama,England,,
68,2026-06-27,23:00,Group,Group L,L,Croatia,Ghana,,
69,2026-06-28,04:00,Group,Group J,J,Algeria,Austria,,
70,2026-06-28,04:00,Group,Group J,J,Jordan,Argentina,,
71,2026-06-28,01:30,Group,Group K,K,Colombia,Portugal,,
72,2026-06-28,01:30,Group,Group K,K,DR Congo,Uzbekistan,,
73,2026-06-28,21:00,Knockout,R32,R32,Runner-up Group A,Runner-up Group B,,
74,2026-06-29,22:30,Knockout,R32,R32,Winner Group E,3rd Group A/B/C/D/F,,
75,2026-06-30,03:00,Knockout,R32,R32,Winner Group F,Runner-up Group C,,
76,2026-06-29,19:00,Knockout,R32,R32,Winner Group C,Runner-up Group F,,
77,2026-06-30,23:00,Knockout,R32,R32,Winner Group I,3rd Group C/D/F/G/H,,
78,2026-06-30,19:00,Knockout,R32,R32,Runner-up Group E,Runner-up Group I,,
79,2026-07-01,03:00,Knockout,R32,R32,Winner Group A,3rd Group C/E/F/H/I,,
80,2026-07-01,18:00,Knockout,R32,R32,Winner Group L,3rd Group E/H/I/J/K,,
81,2026-07-02,02:00,Knockout,R32,R32,Winner Group D,3rd Group B/E/F/I/J,,
82,2026-07-01,22:00,Knockout,R32,R32,Winner Group G,3rd Group A/E/H/I/J,,
83,2026-07-03,01:00,Knockout,R32,R32,Runner-up Group K,Runner-up Group L,,
84,2026-07-02,21:00,Knockout,R32,R32,Winner Group H,Runner-up Group J,,
85,2026-07-03,05:00,Knockout,R32,R32,Winner Group B,3rd Group E/F/G/I/J,,
86,2026-07-04,00:00,Knockout,R32,R32,Winner Group J,Runner-up Group H,,
87,2026-07-04,03:30,Knockout,R32,R32,Winner Group K,3rd Group D/E/I/J/L,,
88,2026-07-03,20:00,Knockout,R32,R32,Runner-up Group D,Runner-up Group G,,
89,2026-07-04,23:00,Knockout,R16,R16,Winner Match 74,Winner Match 77,,
90,2026-07-04,19:00,Knockout,R16,R16,Winner Match 73,Winner Match 75,,
91,2026-07-05,22:00,Knockout,R16,R16,Winner Match 76,Winner Match 78,,
92,2026-07-06,02:00,Knockout,R16,R16,Winner Match 79,Winner Match 80,,
93,2026-07-06,21:00,Knockout,R16,R16,Winner Match 83,Winner Match 84,,
94,2026-07-07,02:00,Knockout,R16,R16,Winner Match 81,Winner Match 82,,
95,2026-07-07,18:00,Knockout,R16,R16,Winner Match 86,Winner Match 88,,
96,2026-07-07,22:00,Knockout,R16,R16,Winner Match 85,Winner Match 87,,
97,2026-07-09,22:00,Knockout,QF,QF,Winner Match 89,Winner Match 90,,
98,2026-07-10,21:00,Knockout,QF,QF,Winner Match 93,Winner Match 94,,
99,2026-07-11,23:00,Knockout,QF,QF,Winner Match 91,Winner Match 92,,
100,2026-07-12,03:00,Knockout,QF,QF,Winner Match 95,Winner Match 96,,
101,2026-07-14,21:00,Knockout,SF,SF,Winner Match 97,Winner Match 98,,
102,2026-07-15,21:00,Knockout,SF,SF,Winner Match 99,Winner Match 100,,
103,2026-07-18,23:00,Knockout,3rd,3rd,Loser Match 101,Loser Match 102,,
104,2026-07-19,21:00,Knockout,Final,Final,Winner Match 101,Winner Match 102,,
